MagnetogramType = NSO-GONG Hourly; InstrumentName = GONG; InputLatGrid = sin(lat); OutputLatGrid = sin(lat); MagUnit = Gauss; InputMapResolution = 360,180; MagnetogramDate = 2007-12-17T11:54:00; CentralMeridianLong = 2064.244444; InputFile = "GONG_magnetograms/mrbqs071217t1154c2064_092.fits;ASCIIFileCreationDate = 2026-04-15T13:47:46; BrFactor = 3.8; BrMin =  5.0
         0  5.7816440000E-01 -2  3  2
   16471       1
 180.     2064.0000000000       92.5000000000
n m g h nOrder CR dLon
   0.   0.        0.0000000000        0.0000000000
   1.   0.       -2.9896965378        0.0000000000
   1.   1.        0.6928344202        0.1640101210
   2.   0.       -0.0690822634        0.0000000000
   2.   1.       -0.7891350916       -0.6113169907
   2.   2.       -0.7521501900        0.7461833452
   3.   0.       -4.9317253403        0.0000000000
   3.   1.       -0.3208937410       -0.6108088210
   3.   2.        0.2349659990        0.0370853277
   3.   3.       -0.1756577824       -1.1540464178
   4.   0.       -0.8736252853        0.0000000000
   4.   1.        0.3030983117        1.2112355154
   4.   2.        0.6185538556       -0.6954705788
   4.   3.        0.0760586434        0.5339604369
   4.   4.        0.3037110221        0.9816063052
   5.   0.       -2.0341848519        0.0000000000
   5.   1.       -0.7645375346       -0.4560802212
   5.   2.       -0.2272606753        0.2688105862
   5.   3.       -0.8823607575        0.9580788233
   5.   4.       -0.2304438913       -0.1249740885
   5.   5.       -1.8028078525       -0.4763271123
   6.   0.        1.2261041943        0.0000000000
   6.   1.       -0.1508381429       -0.4470927927
   6.   2.       -0.9208607251        0.2637198013
   6.   3.        0.2953641143       -0.6672187736
   6.   4.        0.0082107187       -0.8106411194
   6.   5.        0.1117679522        0.3650241901
   6.   6.        0.2426693015       -1.2355498733
   7.   0.        1.2520336941        0.0000000000
   7.   1.        0.6514698146        0.7984400236
   7.   2.        0.5074485167       -0.1787501172
   7.   3.        0.4913464917        0.3184305900
   7.   4.       -0.0997863545        1.2411575449
   7.   5.        1.2419195228       -0.5970283831
   7.   6.        0.2347796492       -0.1407515890
   7.   7.       -0.8500960222        0.6876987516
   8.   0.       -0.3130397793        0.0000000000
   8.   1.        0.3899181954       -0.4511506965
   8.   2.        0.4452304796        0.2678932870
   8.   3.       -0.9767741235       -0.0842930123
   8.   4.       -0.0433496245       -0.2229523364
   8.   5.       -0.9661252119        0.0928659081
   8.   6.       -0.6170650026        0.3037382142
   8.   7.        0.3706768208       -0.6424005093
   8.   8.       -0.9001242407       -1.4519164009
   9.   0.        1.4649138911        0.0000000000
   9.   1.        0.0787482810       -0.1676049652
   9.   2.       -0.4931872399        0.1800866228
   9.   3.        0.5157235597       -0.4327461423
   9.   4.        0.6893235477       -1.0220105145
   9.   5.       -0.5162324977        0.3521207758
   9.   6.        0.5550753400        0.1349250406
   9.   7.       -0.0948138802       -0.4980241275
   9.   8.        0.4366231649        0.9932317960
   9.   9.        2.1544374507        0.4891340711
  10.   0.        0.7284548169        0.0000000000
  10.   1.       -0.4774499075        0.0629401089
  10.   2.        0.0804592017       -0.1203729429
  10.   3.        0.7242162359       -0.1916516435
  10.   4.       -0.3979946998       -0.2886627072
  10.   5.        0.4634251744        0.4877280644
  10.   6.        0.3615900148        0.0426389028
  10.   7.       -0.1980560197        0.4998819341
  10.   8.        0.5859648544        0.5789441139
  10.   9.       -0.7190350265       -1.4532179732
  10.  10.       -1.7192377181        1.3916093947
  11.   0.       -0.0937243826        0.0000000000
  11.   1.       -0.2381850688        0.3468856072
  11.   2.        0.6502132455        0.2327445392
  11.   3.       -1.0142766753        0.3244560859
  11.   4.       -0.2246134464        1.0949182625
  11.   5.        0.6802226378       -0.4343817396
  11.   6.       -1.1303767483        0.0726338811
  11.   7.        0.5112057614       -0.0711061017
  11.   8.       -0.2996438686       -1.9064522965
  11.   9.       -0.6406047377        0.6285758174
  11.  10.        1.8266543151       -0.4785784651
  11.  11.        0.4445171046       -2.3442384074
  12.   0.       -0.6579686009        0.0000000000
  12.   1.       -0.0843711302        0.2921762092
  12.   2.       -0.6803585109       -0.6632753672
  12.   3.       -0.5500448317        0.0481813191
  12.   4.       -0.1972316096       -0.9325330017
  12.   5.       -1.1249876651       -0.3550968961
  12.   6.        0.0693283466        0.3904609509
  12.   7.        0.6010649339       -1.0458736418
  12.   8.       -0.5866349556        0.3113237298
  12.   9.        1.5171313633        1.2756807221
  12.  10.        0.5737976352       -0.7194407411
  12.  11.       -1.6231925126        2.3024361733
  12.  12.        1.4863294168        2.8232008907
  13.   0.        0.0320172700        0.0000000000
  13.   1.       -0.3091161376       -0.4220397099
  13.   2.       -0.1706226962       -0.0304310815
  13.   3.        1.7888009152       -0.0668365783
  13.   4.       -0.2065600312       -0.8798405897
  13.   5.       -0.2443184805        1.1359467816
  13.   6.        0.4679101677       -0.4678332146
  13.   7.       -0.7939984991       -0.1377389825
  13.   8.        0.1272888702        1.4607585247
  13.   9.       -0.2450338070       -0.6534313958
  13.  10.       -1.6017004608        1.3879073060
  13.  11.       -0.3294271989        1.2104449498
  13.  12.       -0.5804326699       -2.1269803625
  13.  13.       -3.2356599664       -0.7684423449
  14.   0.        0.2697776324        0.0000000000
  14.   1.        0.4654900738        0.1021803331
  14.   2.        0.9975314775        1.1306036637
  14.   3.        0.3184536745        0.1627302054
  14.   4.       -0.7318193449        1.4383232045
  14.   5.       -0.0140545221       -0.1966171184
  14.   6.       -0.4749410727       -0.6135035081
  14.   7.       -0.3010879187        0.6535782409
  14.   8.        0.5563439030       -0.8281579410
  14.   9.       -1.7101828045        0.0937926249
