GCR Energy Spectrum (2018 @ 5 au w/ GALPROP)
https://gcr.lpl.arizona.edu/gcr.php
Energy (MeV)      	Differential Intensity (m⁻² s⁻¹ sr⁻¹ MeV⁻¹)
3.0000000000000004	0.05975254072884042
3.3000000000000007	0.06558455291150347
3.6300000000000012	0.07197611986283914
3.993000000000002 	0.07897892908143804
4.392300000000002 	0.08664902737315858
4.831530000000003 	0.09504710074433127
5.314683000000005 	0.104238752528624
5.846151300000006 	0.11429477411767394
6.430766430000007 	0.1252914011857109
7.073843073000009 	0.13731054654432034
7.781227380300009 	0.1504399987000772
8.55935011833001  	0.16477357277966956
9.41528513016301  	0.18041119770067435
10.35681364317931 	0.19745892027194398
11.392495007497239	0.2160288032840912
12.531744508246963	0.23623869058891128
13.784918959071657	0.2582118076766792
15.163410854978821	0.28207616137864516
16.679751940476702	0.30796369712163885
18.34772713452437 	0.3360332380310801
20.182499847976807	0.366430664271168
22.200749832774484	0.3992736179623597
24.42082481605193 	0.4346981747076411
26.86290729765712 	0.4728353105481074
29.54919802742283 	0.5138075494502085
32.50411783016511 	0.5577249622824008
35.75452961318162 	0.6046804545380864
39.32998257449977 	0.6547442876346478
43.26298083194975 	0.7079577913438322
47.58927891514472 	0.7643262438965055
52.348206806659185	0.8238109226350185
57.583027487325104	0.8863203626959151
63.34133023605761 	0.9517009047356235
69.67546325966336 	1.019726665318293
76.64300958562968 	1.0900891247185929
84.30731054419265 	1.162386595063124
92.7380415986119  	1.236113904287994
102.01184575847309	1.3113407519342661
112.21303033432038	1.3874530427665057
123.43433336775242	1.4631109414913415
135.77776670452764	1.5373631729470207
149.35554337498039	1.6091272544750725
164.2910977124784 	1.677190584325759
180.72020748372623	1.740215201282615
198.79222823209884	1.797829982666133
218.67145105530872	1.8515951837959828
240.53859616083955	1.8966780328538677
264.5924557769235 	1.9314711502134498
291.05170135461583	1.9543268842415868
320.1568714900774 	1.966595518589779
352.1725586390851 	1.9732771137000036
387.38981450299354	1.9651080727711443
426.12879595329287	1.940678401972489
468.7416755486221 	1.9049272878694654
515.6158431034843 	1.8643919236812239
567.1774274138327 	1.8066271490251942
623.8951701552159 	1.7307834500172845
686.2846871707374 	1.6611414645170632
754.9131558878111 	1.5750787048782326
830.4044714765921 	1.472776875694802
913.4449186242512 	1.382650612707958
1004.7894104866762	1.278112838562165
1105.2683515353438	1.168770358836354
1215.795186688878 	1.0692595819547528
1337.3747053577656	0.9582235152538989
1471.1121758935421	0.8611429881934092
1618.2233934828962	0.7631882745101146
1780.0457328311857	0.667558076547819
1958.050306114304 	0.5856455764644212
2153.855336725734 	0.49853901390921435
2369.2408703983074	0.43340082715723344
2606.164957438138 	0.36411847086461563
2866.7814531819513	0.3099414621181254
3153.459598500146 	0.25780975974812215
3468.8055583501637	0.214879444726216
3815.686114185183 	0.17724298637221259
4197.254725603705 	0.14505686321161093
4616.9801981640785	0.11886221443100792
5078.67821798049  	0.09587061698635224
5586.546039778545 	0.07819133744274424
6145.200643756403 	0.06242187412781634
6759.720708132049 	0.05076918245706737
7435.69277894526  	0.0402941852766003
