GCR Energy Spectrum (2019 @ 5 au w/ GALPROP)
https://gcr.lpl.arizona.edu/gcr.php
Energy (MeV)      	Differential Intensity (m⁻² s⁻¹ sr⁻¹ MeV⁻¹)
3.0000000000000004	0.06439664025486887
3.3000000000000007	0.0706803744907384
3.6300000000000012	0.07756659054539373
3.993000000000002 	0.08511084677098113
4.392300000000002 	0.09337336666576866
4.831530000000003 	0.10241933375615477
5.314683000000005 	0.11231918330734149
5.846151300000006 	0.12314888458747933
6.430766430000007 	0.1349902057902152
7.073843073000009 	0.14793095180538557
7.781227380300009 	0.16206516278068517
8.55935011833001  	0.17749325880254477
9.41528513016301  	0.1943221130088396
10.35681364317931 	0.21266503200174539
11.392495007497239	0.23264161853817542
12.531744508246963	0.25437748713506253
13.784918959071657	0.27800379845679407
15.163410854978821	0.3036565732027526
16.679751940476702	0.3314757407761984
18.34772713452437 	0.3616038724379876
20.182499847976807	0.3941845431451108
22.200749832774484	0.42936026114508374
24.42082481605193 	0.4672699000449695
26.86290729765712 	0.5080455650185667
29.54919802742283 	0.551808823708861
32.50411783016511 	0.5987251972220227
35.75452961318162 	0.6489366772203162
39.32998257449977 	0.7024352924298122
43.26298083194975 	0.7592571920826091
47.58927891514472 	0.8193990786891397
52.348206806659185	0.8828097704375375
57.583027487325104	0.949380978113393
63.34133023605761 	1.0189373990501647
69.67546325966336 	1.091226287990299
76.64300958562968 	1.1659067303748045
84.30731054419265 	1.2425389155185367
92.7380415986119  	1.3205737821328112
102.01184575847309	1.399343482075562
112.21303033432038	1.4781599109466188
123.43433336775242	1.5576770433950884
135.77776670452764	1.6355475921915847
149.35554337498039	1.7106256665880906
164.2910977124784 	1.7816342465482973
180.72020748372623	1.8471716140371797
198.79222823209884	1.9057220092051366
218.67145105530872	1.9582519058688703
240.53859616083955	2.004281378177869
264.5924557769235 	2.039413725268764
291.05170135461583	2.0619705591644673
320.1568714900774 	2.070270416124103
352.1725586390851 	2.072857325002488
387.38981450299354	2.062731825284228
426.12879595329287	2.035751110970264
468.7416755486221 	1.9906198328077713
515.6158431034843 	1.9468933270598878
567.1774274138327 	1.8855347238329536
623.8951701552159 	1.805705401142593
686.2846871707374 	1.726220467319127
754.9131558878111 	1.6361883116508331
830.4044714765921 	1.5290626715221025
913.4449186242512 	1.4304208374289507
1004.7894104866762	1.322145627975756
1105.2683515353438	1.2044810518928326
1215.795186688878 	1.1018414969459027
1337.3747053577656	0.9876999813774131
1471.1121758935421	0.8841947754025181
1618.2233934828962	0.7838408655665329
1780.0457328311857	0.6831544092836278
1958.050306114304 	0.5994927283111953
2153.855336725734 	0.5098272120895146
2369.2408703983074	0.4422961264208264
2606.164957438138 	0.3718735725989516
2866.7814531819513	0.3154283008422108
3153.459598500146 	0.26255598727727303
3468.8055583501637	0.21813983302958767
3815.686114185183 	0.18004346082218262
4197.254725603705 	0.1469314615948838
4616.9801981640785	0.12046235061521973
5078.67821798049  	0.09691935262768014
5586.546039778545 	0.07908168757050152
6145.200643756403 	0.06299655757044853
6759.720708132049 	0.051254834439382314
7435.69277894526  	0.04060485035952697
8179.262056839792 	0.03299674672766012
8997.18826252378  	0.026100763588673467
9896.907088776165 	0.021209334580558886
10886.59779765379 	0.016801226540826594
11975.25757741918 	0.013655923248504715
13172.783335161108	0.010846446322769838
14490.06166867723 	0.00880374615548574
15939.067835544965	0.006984897020585417
17532.974619099474	0.005596331368000261
19286.27208100944 	0.004386557982225093
21214.8992891104  	0.003456251262200083
23336.389218021457	0.0026767234855584084
25670.028139823626	0.0020854351761191436
28237.03095380601 	0.0016076307278132236
31060.734049186634	0.0012414824042804426
34166.80745410533 	0.0009564307648751094
37583.48819951589 	0.0007331379334192348
41341.83701946751 	0.0005659047756726418
45476.020721414294	0.00043089630139889657
50023.62279355577 	0.0003338002076851597
55025.98507291139 	0.00025253773699373747
60528.583580202576	0.0001965384764796734
66581.44193822288 	0.00014773079235207764
73239.58613204522 	0.00011558612736755812
80563.54474524982 	0.00008629907093552953
88619.89921977487 	0.00006791857512871398
97481.88914175243 	0.000050394855766702224
107230.07805592776	0.00003987782942278277
117953.08586152064	0.000029705431326103453
129748.3944476728 	0.000023395847024452912
142723.23389244018	0.00001750110517331719
156995.55728168433	0.000013716245125549206
172695.1130098529 	0.000010306058402824588
189964.62431083835	0.000008035747282767637
208961.08674192237	0.00000606619952344689
229857.19541611476	0.000004704461618543977
252842.91495772646	0.0000035689845359224006
278127.2064534993 	0.0000027522333606984324
305939.9270988495 	0.0000020988361699529044
336533.91980873473	0.000001608968305489116
370187.3117896085 	0.0000012337327721863496
407206.0429685697 	9.399311505955729e-7
447926.647265427  	7.249028488032485e-7
492719.31199197005	5.486901163637112e-7
541991.2431911675 	4.2575489616749244e-7
596190.3675102848 	3.2006945303789774e-7
655809.4042613137 	2.4995675759321845e-7
721390.3446874457 	1.8656139213751555e-7
793529.3791561909 	1.4668149182129005e-7
872882.3170718106 	1.0884640242219059e-7
960170.5487789925 	8.603557681924602e-8
1056187.6036568927	6.412479520115349e-8
1161806.3640225828	5.043863792051783e-8
1277987.0004248421	3.776617041703399e-8
1405785.7004673274	2.955401408681543e-8
1546364.2705140612	2.2234601384657714e-8
1701000.6975654687	1.73070089661647e-8
1871100.767322017 	1.3085900201145232e-8
2058210.8440542205	1.012908060086699e-8
2264031.9284596443	7.698745998059046e-9
2490435.121305611 	5.924463139828278e-9
2739478.633436174 	4.527670483408083e-9
3013426.496779794 	3.4629547904401754e-9
3314769.146457776 	2.661724510410296e-9
3646246.0611035563	2.0227913944392823e-9
4010870.6672139154	1.5641708645241786e-9
4411957.7339353105	1.1807511014123584e-9
4853153.507328846 	9.188337776086536e-10
5338468.858061734 	6.88713978632181e-10
5872315.743867912 	5.395085967929099e-10
6459547.318254708 	4.013894434116412e-10
7105502.050080185 	3.1663167466756634e-10
7816052.255088209 	2.354953186994004e-10
8597657.480597038 	1.8573202537750743e-10
9457423.228656748 	1.3875928380946041e-10
10403165.551522432	1.0888801190030618e-10
11443482.106674684	8.173081798222108e-11
12587830.317342162	6.380029862034257e-11
13846613.34907639 	4.81226780947278e-11
15231274.683984041	3.7359821831374884e-11
16754402.152382458	2.832373341922095e-11
18429842.367620718	2.1863377465612797e-11
20272826.604382806	1.6664246921943285e-11
