GCR Energy Spectrum (2008 @ 5 au w/ GALPROP)
https://gcr.lpl.arizona.edu/gcr.php
Energy (MeV)      	Differential Intensity (m⁻² s⁻¹ sr⁻¹ MeV⁻¹)
3.0000000000000004	0.061496962712982134
3.3000000000000007	0.06749868609106567
3.6300000000000012	0.07407609942436173
3.993000000000002 	0.0812823467738269
4.392300000000002 	0.08917504693707662
4.831530000000003 	0.09781657907969059
5.314683000000005 	0.10727436609182163
5.846151300000006 	0.11762114980080902
6.430766430000007 	0.12893525063832711
7.073843073000009 	0.14130080254628358
7.781227380300009 	0.15480795177355083
8.55935011833001  	0.1695530057300694
9.41528513016301  	0.1856385151923
10.35681364317931 	0.20317326986562248
11.392495007497239	0.22227218358482398
12.531744508246963	0.24305604126660812
13.784918959071657	0.2656510751314813
15.163410854978821	0.2901883327280143
16.679751940476702	0.3168027940002453
18.34772713452437 	0.3456321891690966
20.182499847976807	0.3768154637455972
22.200749832774484	0.4104908318317861
24.42082481605193 	0.44685417789679105
26.86290729765712 	0.4860146452752975
29.54919802742283 	0.5280778940257437
32.50411783016511 	0.5731549224420864
35.75452961318162 	0.6213388063211498
39.32998257449977 	0.6726990608236686
43.26298083194975 	0.7272751811332606
47.58927891514472 	0.7850693416082077
52.348206806659185	0.8460382608738413
57.583027487325104	0.9100842765321364
63.34133023605761 	0.9770457184570954
69.67546325966336 	1.046686724065731
76.64300958562968 	1.118686701823854
84.30731054419265 	1.1926297188977815
92.7380415986119  	1.267994162426036
102.01184575847309	1.3441430971201733
112.21303033432038	1.4217245544522121
123.43433336775242	1.4988562012113935
135.77776670452764	1.5744931631334078
149.35554337498039	1.6475289086472222
164.2910977124784 	1.716726331127542
180.72020748372623	1.7807231344897732
198.79222823209884	1.8380413272041023
218.67145105530872	1.8920421607434523
240.53859616083955	1.9375071919507527
264.5924557769235 	1.9724527912037408
291.05170135461583	1.995219130563922
320.1568714900774 	2.004969313671046
352.1725586390851 	2.011161804102576
387.38981450299354	2.0022709143826316
426.12879595329287	1.9768919518053631
468.7416755486221 	1.937582441644677
515.6158431034843 	1.8958637025807177
567.1774274138327 	1.8367456406565514
623.8951701552159 	1.759397030927566
686.2846871707374 	1.6860170512571038
754.9131558878111 	1.5984498379846488
830.4044714765921 	1.4939106123121317
913.4449186242512 	1.4009444123690926
1004.7894104866762	1.2949836826374075
1105.2683515353438	1.1824629487265856
1215.795186688878 	1.0817581871378636
1337.3747053577656	0.9695356919648904
1471.1121758935421	0.8699956421866384
1618.2233934828962	0.7711226374274819
1780.0457328311857	0.6735536865266148
1958.050306114304 	0.590970618723404
2153.855336725734 	0.5024264223268375
2369.2408703983074	0.4368246148287186
2606.164957438138 	0.3671042487754318
2866.7814531819513	0.312055009290205
3153.459598500146 	0.25963848127932354
3468.8055583501637	0.21613623950685107
3815.686114185183 	0.17832273508349175
4197.254725603705 	0.14577992065576045
4616.9801981640785	0.11947952762315685
5078.67821798049  	0.09627534846957332
5586.546039778545 	0.07853500224739417
6145.200643756403 	0.06264376305491852
6759.720708132049 	0.0509567232502137
7435.69277894526  	0.0404141842921429
8179.262056839792 	0.03283624839728399
8997.18826252378  	0.025998393686887278
9896.907088776165 	0.021123434097792552
10886.59779765379 	0.01674628269800783
11975.25757741918 	0.01360994331774681
13172.783335161108	0.010816795157759494
14490.06166867723 	0.008778998771646918
15939.067835544965	0.006968548598214064
17532.974619099474	0.005582750758846508
19286.27208100944 	0.00437772046046659
21214.8992891104  	0.003448946604654774
23336.389218021457	0.0026721416257403747
25670.028139823626	0.002081661682275161
28237.03095380601 	0.001605306507742032
31060.734049186634	0.001239573772070324
34166.80745410533 	0.0009552670837243246
37583.48819951589 	0.0007321846292985384
41341.83701946751 	0.0005653265375450265
45476.020721414294	0.00043042358755410393
50023.62279355577 	0.0003335140793069014
55025.98507291139 	0.00025230426137409805
60528.583580202576	0.00019639720835070866
66581.44193822288 	0.00014761571855033222
73239.58613204522 	0.00011551646535833036
80563.54474524982 	0.00008624241800060591
88619.89921977487 	0.0000678842475180606
97481.88914175243 	0.00005037425840506475
107230.07805592776	0.000039860920798532143
117953.08586152064	0.000029695277687787054
129748.3944476728 	0.000023387522400569564
142723.23389244018	0.000017496101822147397
156995.55728168433	0.000013712148124728026
172695.1130098529 	0.000010303593635283247
189964.62431083835	0.000008033731453374938
208961.08674192237	0.000006064985655622144
229857.19541611476	0.000004703470033364802
252842.91495772646	0.000003568386854663479
