GCR Energy Spectrum (2021 @ 5 au w/ GALPROP)
https://gcr.lpl.arizona.edu/gcr.php
Energy (MeV)      	Differential Intensity (m⁻² s⁻¹ sr⁻¹ MeV⁻¹)
3.0000000000000004	0.047733258136133966
3.3000000000000007	0.052396816259684655
3.6300000000000012	0.057508933726420124
3.993000000000002 	0.06311129060556116
4.392300000000002 	0.0692491355337505
4.831530000000003 	0.07597152694437288
5.314683000000005 	0.08333157624215318
5.846151300000006 	0.09138668900115751
6.430766430000007 	0.10019879916186598
7.073843073000009 	0.10983458988614539
7.781227380300009 	0.12036569316732856
8.55935011833001  	0.1318688584543599
9.41528513016301  	0.14442607840192806
10.35681364317931 	0.15812465737167863
11.392495007497239	0.1730572054555014
12.531744508246963	0.18932153754954606
13.784918959071657	0.20702045336686703
15.163410854978821	0.22626137024329854
16.679751940476702	0.24715577619425602
18.34772713452437 	0.26981846598008774
20.182499847976807	0.29436651803659125
22.200749832774484	0.32091796518154025
24.42082481605193 	0.3495901072411031
26.86290729765712 	0.3804974094577742
29.54919802742283 	0.41374892714671563
32.50411783016511 	0.4494451950739163
35.75452961318162 	0.4876745200716673
39.32998257449977 	0.5285086182437184
43.26298083194975 	0.5719975446211233
47.58927891514472 	0.6181638742836946
52.348206806659185	0.6670845773152605
57.583027487325104	0.7189285245561667
63.34133023605761 	0.7733878818081438
69.67546325966336 	0.8303217986095061
76.64300958562968 	0.8895247234609867
84.30731054419265 	0.9507169620653667
92.7380415986119  	1.0135350760301598
102.01184575847309	1.0775224131517425
112.21303033432038	1.1421201265785077
123.43433336775242	1.2066591028058737
135.77776670452764	1.2703532717374673
149.35554337498039	1.3325822898458917
164.2910977124784 	1.3947099580756723
180.72020748372623	1.4535479191857743
198.79222823209884	1.5079069051314085
218.67145105530872	1.556490316223287
240.53859616083955	1.5979049182382825
264.5924557769235 	1.6306753332319366
291.05170135461583	1.6617055222039052
320.1568714900774 	1.682757965516269
352.1725586390851 	1.692164927935624
387.38981450299354	1.6884694259654953
426.12879595329287	1.6774933277581987
468.7416755486221 	1.6598867226941705
515.6158431034843 	1.627476779932413
567.1774274138327 	1.579185517548512
623.8951701552159 	1.5312909237797618
686.2846871707374 	1.4718290776793113
754.9131558878111 	1.3966867909079888
830.4044714765921 	1.3218749060281612
913.4449186242512 	1.2419898905752211
1004.7894104866762	1.1480426021559444
1105.2683515353438	1.0627595283517572
1215.795186688878 	0.9722496328031404
1337.3747053577656	0.8740529241047609
1471.1121758935421	0.79200252197552
1618.2233934828962	0.7010858322383358
1780.0457328311857	0.6204631427872469
1958.050306114304 	0.5437360875989254
2153.855336725734 	0.46784481251575144
2369.2408703983074	0.4063198291472567
2606.164957438138 	0.34046409462114285
2866.7814531819513	0.293148843516459
3153.459598500146 	0.2432594766086881
3468.8055583501637	0.20485389219585085
3815.686114185183 	0.16861893602191835
4197.254725603705 	0.1392685119156753
4616.9801981640785	0.11391494169461579
5078.67821798049  	0.09262048225358968
5586.546039778545 	0.07542893134163
6145.200643756403 	0.0606351778832048
6759.720708132049 	0.04925779832335209
7435.69277894526  	0.03932564755443165
8179.262056839792 	0.031919160948425694
8997.18826252378  	0.02541255766758684
9896.907088776165 	0.020631486115308413
10886.59779765379 	0.0164312131307185
11975.25757741918 	0.01334610954851573
13172.783335161108	0.010646470639259026
14490.06166867723 	0.008636766195809647
15939.067835544965	0.006874505676115993
17532.974619099474	0.005504594012362686
19286.27208100944 	0.004326822518051058
21214.8992891104  	0.003406860965145793
23336.389218021457	0.0026457260831276564
25670.028139823626	0.002059899683652142
28237.03095380601 	0.0015918950581665754
31060.734049186634	0.0012285574781486699
34166.80745410533 	0.0009485473201757378
37583.48819951589 	0.0007266784892848321
41341.83701946751 	0.0005619853793010133
45476.020721414294	0.00042769166458308757
50023.62279355577 	0.00033185991808133036
55025.98507291139 	0.0002509542891863694
60528.583580202576	0.00019558015468039346
66581.44193822288 	0.0001469500807522243
73239.58613204522 	0.00011511341380051605
80563.54474524982 	0.00008591460005731839
88619.89921977487 	0.00006768557393260684
97481.88914175243 	0.00005025502950838544
107230.07805592776	0.00003976303611076509
117953.08586152064	0.00002963648958466413
129748.3944476728 	0.00002333932066777715
142723.23389244018	0.000017467127708647697
156995.55728168433	0.000013688421264732484
172695.1130098529 	0.00001028931808515147
189964.62431083835	0.000008022055526551673
208961.08674192237	0.000006057954210551156
229857.19541611476	0.0000046977259555099055
252842.91495772646	0.000003564924355953008
278127.2064534993 	0.0000027489205112941945
305939.9270988495 	0.0000020968372630404773
336533.91980873473	0.0000016073392527815754
370187.3117896085 	0.0000012327488608637545
407206.0429685697 	9.391302360063903e-7
447926.647265427  	7.244186104026945e-7
492719.31199197005	5.482964064733128e-7
541991.2431911675 	4.255166067874836e-7
596190.3675102848 	3.198759412393644e-7
655809.4042613137 	2.498395001461102e-7
721390.3446874457 	1.864662827925598e-7
793529.3791561909 	1.4662379542313563e-7
872882.3170718106 	1.0881175116139086e-7
960170.5487789925 	8.60071895324208e-8
1056187.6036568927	6.410773060953902e-8
1161806.3640225828	5.04246721815899e-8
1277987.0004248421	3.775776702491384e-8
1405785.7004673274	2.9547143720493394e-8
1546364.2705140612	2.2230463539891713e-8
1701000.6975654687	1.7303629475313916e-8
1871100.767322017 	1.308386286279745e-8
2058210.8440542205	1.0127418391785866e-8
2264031.9284596443	7.697742954091863e-9
2490435.121305611 	5.923645652284249e-9
2739478.633436174 	4.527176685829368e-9
3013426.496779794 	3.462552776184894e-9
3314769.146457776 	2.6614814298492527e-9
3646246.0611035563	2.022593712769441e-9
4010870.6672139154	1.5640512127574206e-9
4411957.7339353105	1.1806539046233596e-9
4853153.507328846 	9.187748805100334e-10
5338468.858061734 	6.886661890869227e-10
5872315.743867912 	5.394796069550138e-10
6459547.318254708 	4.013659480864856e-10
7105502.050080185 	3.1661740626072583e-10
7816052.255088209 	2.354867413324616e-10
8597657.480597038 	1.857250031737638e-10
9457423.228656748 	1.3875505870232527e-10
10403165.551522432	1.0888455625532765e-10
11443482.106674684	8.172873693366858e-11
12587830.317342162	6.379859827154262e-11
13846613.34907639 	4.812165317828101e-11
15231274.683984041	3.7358985264025295e-11
16754402.152382458	2.83232286921775e-11
18429842.367620718	2.1862965920142393e-11
20272826.604382806	1.6663998383058884e-11
22300109.264821105	1.2786191574204034e-11
24530120.191303235	9.800389485423423e-12
26983132.21043358 	7.472703459097236e-12
29681445.43147696 	5.761466607757145e-12
32649589.974624686	4.364297221801e-12
35914548.97208718 	3.3857334481784214e-12
39506003.86929593 	2.547059450257237e-12
43456604.256225556	1.9887943815930307e-12
47802264.68184815 	1.4853087043065017e-12
52582491.15003301 	1.1676773890131497e-12
57840740.26503636 	8.667038983552444e-13
63624814.29154004 	6.852333039313538e-13
69987295.72069411 	5.108492662167133e-13
76986025.29276358 	4.018991973926014e-13
84684627.82204    	3.0099458191580343e-13
93153090.60424407 	2.355852508308962e-13
