GCR Energy Spectrum (2009 @ 5 au w/ GALPROP)
https://gcr.lpl.arizona.edu/gcr.php
Energy (MeV)      	Differential Intensity (m⁻² s⁻¹ sr⁻¹ MeV⁻¹)
3.0000000000000004	0.06477610755931497
3.3000000000000007	0.07109673871313071
3.6300000000000012	0.0780233551521858
3.993000000000002 	0.08561183054363032
4.392300000000002 	0.09392272848461222
4.831530000000003 	0.1030215985685843
5.314683000000005 	0.11297926915822733
5.846151300000006 	0.1238721305359603
6.430766430000007 	0.13578240047158194
7.073843073000009 	0.14879836231813615
7.781227380300009 	0.16301456348511265
8.55935011833001  	0.17853195950658074
9.41528513016301  	0.19545798588753532
10.35681364317931 	0.21390653644709084
11.392495007497239	0.2339978229646289
12.531744508246963	0.2558580865724489
13.784918959071657	0.2796191265461883
15.163410854978821	0.3054176069738857
16.679751940476702	0.3333940963296809
18.34772713452437 	0.3636917893873219
20.182499847976807	0.3964548553998727
22.200749832774484	0.431826351349069
24.42082481605193 	0.4699456347369904
26.86290729765712 	0.5109452073792271
29.54919802742283 	0.5549469206198487
32.50411783016511 	0.6020643124024785
35.75452961318162 	0.6525398296592797
39.32998257449977 	0.7063167666070065
43.26298083194975 	0.7634308078761388
47.58927891514472 	0.8238779117910303
52.348206806659185	0.8876058336961229
57.583027487325104	0.9545048646504707
63.34133023605761 	1.024397889800657
69.67546325966336 	1.0970299284912057
76.64300958562968 	1.1720573841604598
84.30731054419265 	1.2490373042924545
92.7380415986119  	1.327417025866519
102.01184575847309	1.4065246551617747
112.21303033432038	1.4855608962948534
123.43433336775242	1.5653205236894046
135.77776670452764	1.6434772301148124
149.35554337498039	1.7188161444666985
164.2910977124784 	1.7900550989091009
180.72020748372623	1.8557873105384395
198.79222823209884	1.9144921890895172
218.67145105530872	1.9668241700912346
240.53859616083955	2.0129212063240147
264.5924557769235 	2.048072075710767
291.05170135461583	2.070596111383865
320.1568714900774 	2.0788104747218057
352.1725586390851 	2.080816456856323
387.38981450299354	2.0705263872682065
426.12879595329287	2.043334041050068
468.7416755486221 	1.9979464011276398
515.6158431034843 	1.9534566457590328
567.1774274138327 	1.8918057386916023
623.8951701552159 	1.8116537357410523
686.2846871707374 	1.7313797093257959
754.9131558878111 	1.6410282525970312
830.4044714765921 	1.5335682378032638
913.4449186242512 	1.4341955561846564
1004.7894104866762	1.3256220315730907
1105.2683515353438	1.2072967330502247
1215.795186688878 	1.1044084429962497
1337.3747053577656	0.9900205316236246
1471.1121758935421	0.8860073691567952
1618.2233934828962	0.7854637054280605
1780.0457328311857	0.6843785930601463
1958.050306114304 	0.600578951815294
2153.855336725734 	0.5107818237665339
2369.2408703983074	0.44299283113056165
2606.164957438138 	0.3724806709265256
2866.7814531819513	0.31585745129830517
3153.459598500146 	0.2629270475986062
3468.8055583501637	0.21839452916887284
3815.686114185183 	0.18026214448210284
4197.254725603705 	0.14707774304101795
4616.9801981640785	0.12058717245642932
5078.67821798049  	0.09700111110438163
5586.546039778545 	0.07915107791864454
6145.200643756403 	0.06304132213050771
6759.720708132049 	0.05129265423174038
7435.69277894526  	0.04062903197795211
8179.262056839792 	0.03301709935548487
8997.18826252378  	0.02611374170905579
9896.907088776165 	0.021220223422733005
10886.59779765379 	0.01680818978024437
11975.25757741918 	0.01366174984301928
13172.783335161108	0.010850203048950836
14490.06166867723 	0.008806881303279305
15939.067835544965	0.006986967835730655
17532.974619099474	0.005598051461044114
19286.27208100944 	0.0043876771871312415
21214.8992891104  	0.0034571762832681843
23336.389218021457	0.0026773036437875214
25670.028139823626	0.0020859129533586764
28237.03095380601 	0.001607924979298417
31060.734049186634	0.0012417240307929494
34166.80745410533 	0.0009565780714152406
37583.48819951589 	0.0007332586046065391
41341.83701946751 	0.0005659779653580433
45476.020721414294	0.0004309561326692547
50023.62279355577 	0.0003338364208504213
55025.98507291139 	0.00025256728553660004
60528.583580202576	0.00019655635445387363
66581.44193822288 	0.0001477453550360659
73239.58613204522 	0.00011559494280489681
80563.54474524982 	0.00008630624000347293
88619.89921977487 	0.00006792291892606651
97481.88914175243 	0.000050397462072718425
107230.07805592776	0.00003987996894116153
117953.08586152064	0.000029706716078030364
129748.3944476728 	0.000023396900336831457
142723.23389244018	0.000017501738233608993
156995.55728168433	0.000013716763502861142
172695.1130098529 	0.000010306370255034246
189964.62431083835	0.000008036002331517741
208961.08674192237	0.000006066353103539321
229857.19541611476	0.000004704587074335749
252842.91495772646	0.000003569060153960341
278127.2064534993 	0.000002752295058179526
